objectid,wd18cd,wd18nm,wd18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7062,E05011161,Perry Common, ,409519,293413,-1.86107004,52.53850174,2155646.47359188,6754.5155157465
7063,E05011162,Pype Hayes, ,412773,291373,-1.81317997,52.52009964,4877411.11026345,11508.8759410568
7064,E05011163,Quinton, ,400447,284679,-1.99484003,52.46009827,4760119.42864425,11477.1400713049
7065,E05011164,Rubery & Rednal, ,399735,277000,-2.00531006,52.39099884,2048159.23398756,7612.83149360716
7066,E05011165,Shard End, ,415448,288439,-1.77389002,52.49369812,2664346.57551464,8516.66428617253
7067,E05011166,Sheldon, ,414863,284868,-1.78266001,52.46160126,4850362.29097379,12506.2731610671
7068,E05011167,Small Heath, ,410747,285505,-1.84322,52.4673996,2296444.88135543,7343.82031292883
7069,E05011168,Soho & Jewellery Quarter, ,404926,288325,-1.92886996,52.49280167,4131714.63982473,10207.1717180269
7070,E05011169,South Yardley, ,412882,284449,-1.81184006,52.457901,2155791.2342583,7582.66661911594
7071,E05011170,Sparkbrook & Balsall Heath East, ,409116,284704,-1.86724997,52.46020126,3426932.76247224,10865.3347461
7072,E05011171,Sparkhill, ,409327,283326,-1.86418998,52.44779968,1982863.15503348,6650.43852306246
7073,E05011172,Stirchley, ,405762,280975,-1.91667998,52.42670059,1894461.91360661,7296.43806453723
